Output file at 75k items in test
Max ram 17.75gb
LSH=>Start=>2023-11-29 22:15:42.528765
LSH=>Finish=>2023-11-29 22:24:32.078795 

U806:U769,U6187,U44602
U807:U45514,U55350,U68365
U808:U20348,U47284,U53784
U809:U6308,U27536,U58789
U810:U19425,U30721,U37676
U811:U12394,U19015,U37201
U812:U4590,U37469,U53090
U813:U7816,U16627,U37315
U814:U39012,U64036,U71340
U815:U12981,U30179,U52268
U816:U6452,U45530,U58121
U817:U8896,U14098,U44354
U818:U53829,U59992,U63775
U819:U17390,U65435,U68429
U820:U20562,U24589,U29325
U821:U27663,U46173,U68988
U822:U16309,U33105,U36620
U823:U14731,U23525,U73260
U824:U2736,U47110,U72081
U825:U7852,U15406,U16303
U826:U1699,U2384,U21090
U827:U8129,U17986,U74607
U828:U966,U44192,U56669
U829:U6612,U52612,U68573
U830:U12403,U36718,U63039
U831:U8444,U11431,U22815
U832:U3234,U8197,U22061
U833:U2991,U35146,U71667
U834:U7150,U17045,U31473
U835:U23500,U56292,U67384
U836:U2643,U13474,U65053
U837:U16952,U26986,U50171
U838:U58293,U64388,U64480
U839:U6069,U12072,U21934
U840:U9538,U10328,U60552
U841:U22996,U26150,U69170
U842:U19214,U31315,U69699
U843:U6442,U26091,U59223
U844:U48788,U55183,U63412
U845:U10701,U24089,U54549
U846:U7394,U32373,U73840
U847:U23005,U41805,U65988
U848:U13017,U24633,U42751
U849:U7289,U23029,U67392
U850:U9971,U12884,U39889
U851:U2575,U10078,U34503
U852:U3451,U55548,U70618
U853:U2689,U7698,U21819
U854:U2062,U11158,U74020
U855:U15028,U51673,U64828
U856:U13408,U37864,U73581
U857:U26272,U44344,U71428
U858:U9635,U32178,U39168
U859:U10785,U15891,U62541
U860:U680,U1156,U12527
U861:U31090,U33410,U59316
U862:U10905,U14542,U39118
U863:U4539,U34222,U48692
U864:U4910,U9759,U22811
U865:U19347,U45448,U51201
U866:U2456,U14126,U19912
U867:U8089,U24952,U70962
U868:U11040,U34394,U62553
U869:U6219,U17317,U22526
U870:U10434,U30159,U69131
U871:U11467,U34402,U42325
U872:U14111,U27527,U50369
U873:U30193,U47322,U65099
U874:U3350,U35353,U69888
U875:U24695,U29894,U47116
U876:U48564,U53489,U57113
U877:U13040,U28231,U31663
U878:U23445,U35541,U51507
U879:U10044,U13126,U46995
U880:U11773,U12091,U26083
U881:U10459,U15403,U29616
U882:U18896,U27239,U57403
U883:U17354,U23169,U44175
U884:U34280,U51899,U54004
U885:U7203,U29287,U59476
U886:U31080,U49237,U63810
U887:U1770,U31839,U54908
U888:U43172,U62800,U73815
U889:U7645,U15225,U53178
U890:U31675,U43110,U68214
U891:U4958,U7332,U38721
U892:U9671,U29776,U48128
U893:U5192,U19287,U19603
U894:U9896,U51370,U62038
U895:U18170,U50851,U65097
U896:U21457,U35370,U47327
U897:U2782,U13904,U34757
U898:U7297,U9303,U68500
U899:U9095,U17432,U28998
U900:U5646,U28861,U49282
U901:U4656,U13882,U70852
U902:U1784,U28313,U31107
U903:U9515,U10736,U59830
U904:U28907,U33844,U52966
U905:U20604,U27438,U31200
U906:U44410,U65287,U66883
U907:U22515,U32491,U49153
U908:U17536,U67375,U70273
U909:U11050,U28981,U44338
U910:U7240,U32672,U59140
U911:U3170,U31413,U44810
U912:U20366,U22337,U33580
U913:U9936,U13752,U20038
U914:U11540,U22508,U26329
U915:U3108,U13136,U21040
U916:U20600,U60064,U63442
U917:U11987,U65620,U72791
U918:U49599,U50656,U71527
U919:U3413,U13414,U17271
U920:U36965,U40626,U52206
U921:U3716,U9778,U30389
U922:U562,U2230,U67877
U923:U16140,U35654,U68720
U924:U11177,U59082,U60866
U925:U1485,U14809,U17881
U926:U21523,U26739,U35364
U927:U19433,U51850,U62191
U928:U10892,U63222,U68253
U929:U3983,U13328,U33559
U930:U34348,U58866,U74105
U931:U21461,U36630,U44116
