3-4-5 100k
Max ram 27.4gb -> 24t
LSH=>Start=>2023-11-30 19:12:50.412111
LSH=>Finish=>2023-11-30 19:21:38.690907

U422:U48149,U50903,U62622,U65800,U66624
U423:U6738,U11603,U44036,U59525,U92204
U424:U9219,U13093,U31817,U32825,U96989
U425:U1583,U18879,U59219,U61327,U92392
U426:U16576,U26495,U28073,U33098,U84504
U427:U199,U3607,U27025,U40153,U50786
U428:U121,U259,U500,U524,U65439
U429:U376,U15246,U56894,U96897,U99984
U430:U249,U403,U1546,U4038,U76781
U431:U263,U53845,U59459,U72019,U75090
U432:U6027,U15054,U26254,U65696,U93746
U433:U435,U691,U60013,U67506,U69764
U434:U276,U6914,U50360,U68748,U73621
U435:U433,U691,U59393,U67506,U69764
U436:U312,U368,U480,U11649,U66749
U437:U1105,U10597,U20777,U36486,U37045
U438:U2472,U57787,U89677,U93591,U96116
U439:U2268,U15673,U45650,U47013,U52901
U440:U3306,U11005,U17158,U28987,U82387
U441:U18778,U39124,U63305,U77132,U85319
U442:U24189,U27166,U36169,U82213,U99851
U443:U15073,U25020,U46867,U50849,U72939
U444:U13936,U45261,U65166,U84571,U88749
U445:U78,U341,U396,U1176,U75564
U446:U17010,U24873,U30341,U44480,U51466
U447:U11886,U14573,U18213,U19424,U96539
U448:U6553,U14140,U30595,U88078,U99263
U449:U961,U10842,U14381,U19710,U22216
U450:U13083,U38212,U53634,U56830,U79052
U451:U32083,U55388,U60404,U64408,U91455
U452:U49081,U49579,U63439,U85767,U85961
U453:U12093,U21764,U51535,U66791,U87627
U454:U13744,U47677,U78753,U90955,U98269
U455:U45755,U58089,U81200,U92028,U96557
U456:U37931,U43440,U45987,U59779,U94919
U457:U8142,U10064,U57328,U80589,U95990
U458:U21891,U35780,U83370,U84691,U92777
U459:U31806,U41639,U79256,U82103,U93343
U460:U25406,U26895,U33284,U66900,U72993
U461:U272,U42185,U44019,U56368,U75266
U462:U280,U354,U11953,U78658,U98299
U463:U27628,U37948,U42923,U54804,U95437
U464:U8306,U20263,U35035,U62963,U92544
U465:U30095,U78489,U82332,U97145,U97656
U466:U9505,U53429,U58078,U78886,U99578
U467:U4003,U7879,U39384,U47016,U88958
U468:U2181,U30605,U43609,U56754,U81275
U469:U1029,U23871,U38016,U57241,U62813
U470:U3831,U4685,U9206,U32083,U49879
U471:U962,U47520,U59777,U86618,U98908
